Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
LA JOIE DE VIVRE EHPAD,7527,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 74 47 47,La Combe de Biron,24540,LOLME,-
LA JONCIERE EHPAD,3785,,Aurore Auffret,EHPAD,Bretagne,02 40 06 81 12,20 RUE DU VAL DE SEVRE,44190,BOUSSAY,-
LA LOGE DE MER EHPAD,3072,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 73 52 32,"3, avenue Port Roussillon",66140,CANET EN ROUSSILLON,-
LA MAISON A SOIE EHPAD,7394,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 36 59 00,2 CHEMIN DE LA SOIE,01230,TENAY,-
LA MAISON D'EMILIENNE EHPAD KORIAN,1631,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 74 10 29,Le Bourg,81540,CAHUZAC,-
LA MAISON DE GOUTS EHPAD,3521,Fondation Partage et Vie (ex Caisse d'Epargne),Laurent DURIEUX,EHPAD,Val de Loire,05 53 91 03 76,Le Bourg,24320,GOUT ROSSIGNOL,-
LA MAISON DE JEANNE (ex 4135),16146,DOMIDEP,Herve QUELO,EHPAD,Centre Auvergne,04 77 68 32 02,15 RUE DE L'ABBE GOULARD,42300,ROANNE,-
LA MAISON DES ARBOUSIERS EHPAD,3015,ADEF Résidences,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 46 63 80,1 rue des Mailheuls,11200,BIZANET,-
LA MAISON NORMANDE,12880,BRIDGE,Celine LUCION,EHPAD,Grand Nord-Est,02 35 34 16 82,La Salle,76680,ST MARTIN OMONVILLE,-
LA MARQUISANNE I EHPAD,8649,ADAPEI,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 09 69 70,EHPAD LA MARQUISANNE I,83200,TOULON,-
LA MARQUISANNE II EHPAD,8966,ADAPEI,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 09 57 00,EHPAD LA MARQUISANNE II,83200,TOULON,-
LA MECHE D'ARGENT EHPAD,13754,,Celine LUCION,EHPAD,Grand Nord-Est,03 23 52 68 80,32 AVENUE ALTEN KENNSSEL,02380,COUCY LE CHATEAU AUFFRIQUE,-
LA MEDIEVIALE ARGENTEE EHPAD,5988,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 95 57 00,Chemin de Bouxac,82110,LAUZERTE,-
LA MENARDIERE EHPAD,7582,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 63 20 42,ROUTE DE SAINT MARC LA LANDE,79310,MAZIERES EN GATINE,-
LA MERVANDELLE EHPAD,15856,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 71 32 10,4 Rue de la Varenne,71310,MERVANS,X
LA NEUVILLE FASSIC,12218,,Celine LUCION,EHPAD,Grand Nord-Est,03 22 46 21 69,5 place Augustin Dujardin,80000,AMIENS,-
LA PASTELLIERE EHPAD,6166,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 34 51 28 88,36 Boulevard Jean Brunhes,31300,TOULOUSE,-
LA PASTELLIERE EHPAD,6275,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 62 49 00,Place du Rivet,81710,SAIX,-
LA PELLONNIERE EHPAD,4131,,Niels COLLEU,EHPAD,Normandie,02 33 83 81 55,3 RUE CHANCEAUX,61400,LE PIN LA GARENNE,-
LA PETITE SUISSE EHPAD,3322,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 48 82 59,"1, rue de la Cure",86430,MOUTERRE SUR BLOURDE,-
LA PINEDE KORIAN EHPAD,7960,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 34 91 91,25 RUE BARBAZANGES,83110,SANARY SUR MER,-
LA PROVIDENCE EHPAD,4653,ITINOVA,Herve QUELO,EHPAD,Centre Auvergne,04 77 44 49 30,"10, avenue de la République",42120,LE COTEAU,-
LA PROVIDENCE EHPAD AGESPA,5866,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 44 99 00,4 rue de l'Hotel de Ville,34700,LODEVE,-
LA PROVIDENCE PARIS EHPAD,2907,,IDF,EHPAD,Ile de France,01 53 09 60 00,"77, rue des martyrs",75018,PARIS 18,-
LA RENAISSANCE EHPAD AGESPA,4919,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 28 22 94,"123, chemin de Fonseranes",34500,BEZIERS,-
LA RESIDENCE EHPAD,5927,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 33 32 00,7 Residence Hameau Pierre Salvet,81310,LISLE SUR TARN,-
LA RESIDENCE MATISSE,14592,DOMIDEP,Celine LUCION,EHPAD,Grand Nord-Est,03 20 68 04 40,16 Chaussée Albert Einstein,59200,TOURCOING,-
LA RETRAITE EHPAD,11227,,Aurore Auffret,EHPAD,Bretagne,02 98 95 06 12,10 RUE VERDELET,29000,QUIMPER,-
LA ROCHE LIBERE EHPAD,4712,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 51 49 49,4 rue de la République,24120,TERRASSON LA VILLEDIEU,-
LA ROSE DES VENTS EHPAD,8522,ACPPA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 09 53 50,1289 RUE EDOUARD HERRIOT,01480,JASSANS RIOTTIER,-
LA ROSE DES VENTS EHPAD,8785,CCAS,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 89 58 81,7 RUE PEYRE FERRY,83000,TOULON,-
LA ROSEE EHPAD,7900,,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 84 64 33,41 AV DE SAINT BARTHELEMY,06100,NICE,-
LA ROSELIERE CCAS,1930,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 32 68 90,Rue des Lavoirs,34350,VENDRES,-
LA ROSERAIE EHPAD,3384,,Laurent DURIEUX,EHPAD,Val de Loire,05 45 21 73 35,Le bourg,16170,GOURVILLE,-
LA ROUSSILHE EHPAD,8149,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 44 50 82,5 avenue La roussilhe,12140,ENTRAYGUES SUR TRUYERE,-
LA SAGESSE EHPAD,3843,,Aurore Auffret,EHPAD,Bretagne,02 99 88 41 23,RUE DE LA SAGESSE,35730,PLEURTUIT,-
LA SOLIDAGE EHPAD,15975,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 89 80 25,AV DU 11 NOVEMBRE 1918,69200,VENISSIEUX,-
LA SOLIDARITE MAISON DE RETRAITE,5528,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 51 74 34,122 rue de la République,67720,HOERDT,-
LA SOURCE EHPAD,3216,,Herve QUELO,EHPAD,Centre Auvergne,04 70 43 64 55,21 Route de Moulins,03210,SOUVIGNY,-
LA TOUR de PUJOLS EHPAD EMEIS,12232,EMEIS (ANCIEN ORPEA),Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 49 70 00,1 rue Ernest Lafont,47300,VILLENEUVE SUR LOT,-
LA TOUR EHPAD,3446,France Horizon,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 44 13 00,"1, impasse de la Tour - Le Rouc",11100,MONTREDON DES CORBIERES,-
LA VALETTE EHPAD,4940,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 64 60 44,"33, Route Puy Terrier",79600,ST LOUP LAMAIRE,-
LA VENCOISE ONAC EHPAD,2066,,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 58 03 05,Domaine de la Conque,06140,VENCE,-
LA VENCOISE ST MICHEL EHPAD,1625,,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 11 22 22,"14, Rue Saint Michel",06140,VENCE,-
LA VERDERIE EHPAD,5237,UGECAM,Celine LUCION,EHPAD,Grand Nord-Est,03 20 07 24 69,40 Rue Pasteur,59320,HAUBOURDIN,-
LABOUILHE EHPAD,0961,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 88 44 88,Place du Souvenir,31650,ST ORENS DE GAMEVILLE,-
LARRAZKENA EHPAD,3337,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 70 28 28,12 route des Missionnaires,64240,HASPARREN,-
LAULADE EHPAD,4918,,Herve QUELO,EHPAD,Centre Auvergne,05 55 82 83 11,10 rue de Laulade,23170,BUDELIERE,-
LAVIGERIE DES PERES BLANCS EHPAD,5261,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 54 12 00 50,22 avenue Montilleul,64140,BILLERE,-
LE BARAIL DES JAIS EHPAD,16522,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 24 50 72 27,Bourg,33910,SAINT-DENIS-de-PILE,-
LE BARTISCHGUT EHPAD,0830,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 79 14 90,7 Rue Bartisch,67100,STRASBOURG,-
LE BASTION KORIAN,9271,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 77 48 48,4 BLVD DU COMMANDANT ROUMENS,11000,CARCASSONNE,-
LE BENETOU EHPAD,7167,,Laurent DURIEUX,EHPAD,Val de Loire,05 45 70 70 31,AVENUE DU GENERAL DE GAULLE,16220,MONTBRON,-
LE BERCEAU EHPAD ADGESSA,3153,ADGESSA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 55 97 80,601 impasse de l'Oeuvre,40990,ST VINCENT DE PAUL,-
LE BOIS ROBILLARD EHPAD,13163,KORIAN,Aurore Auffret,EHPAD,Bretagne,02 51 89 40 00,35 Rue du Bois Robillard,44000,NANTES,X
LE BOIS VERT RESIDENCE EHPAD,0206,DOMIDEP,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 15 83 00,"15, Rue poutier",31100,TOULOUSE,-
LE BOSQUET EHPAD,4759,UNIVI,Celine LUCION,EHPAD,Grand Nord-Est,03 20 07 63 33,3 RUE ARISTIDE BRIAND,59320,HAUBOURDIN,-
LE CAP VEYRE EHPAD,4540,,Herve QUELO,EHPAD,Centre Auvergne,04 63 66 27 38,34 chemin Chardonnet,63960,VEYRE MONTON,-
LE CASTELOU EHPAD (CH CASTELNAUDARY),5583,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 23 46 00,10 rue Renée Cassin,11400,CASTELNAUDARY,-
LE CHALET EHPAD KORIAN,5869,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 88 01 86,7 Route de l'Aurigolle,33830,BELIN BELIET,-
LE CHANT DES RIVIERES EHPAD,2223,,Herve QUELO,EHPAD,Centre Auvergne,05 55 82 11 02,Rue Germeau Baraillon,23170,CHAMBON SUR VOUEIZE,X
LE CHARME DES SOURCES EHPAD,3938,DOMIDEP,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 24 16 56,"41, rue André Sabatier",69520,GRIGNY,-
LE CHATEAU EHPAD-MULTI,6139,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 68 02 26,4 Avenue des Monts d' Olmes,09340,VERNIOLLE,-
LE CISTE EHPAD HD2A,3191,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 51 88 00,"10, boulevard Sylvestre Marcaggi",20000,AJACCIO,-
LE CLOS DE LA GARANCE EHPAD,5764,SGA,Dorian SANCHEZ,EHPAD,Sud-Est,04 32 40 47 06,54 allée de la Sorguette,84320,ENTRAIGUES SUR SORGUES,-
LE CLOS DES ACACIAS EHPAD- FLEXI NON CONNECTE,8663,ALLIAGE CARE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 62 81 12,6 rue des Acacias,33490,CAUDROT,X
LE CLOS DES VIGNES EHPAD DOMUSVI +,2801,DOMUSVI,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 60 68 00,"14, chemin de Cante Perdrix",06130,GRASSE,-
LE CLOS SAINT ROCH EHPAD,2797,Association des Foyers de Province AFP,Laurent DURIEUX,EHPAD,Val de Loire,05 53 82 07 20,"4, rue Winston Churchill",24700,MONTPON MENESTEROL,-
LE CLOS SERENA EHPAD KORIAN,7327,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 99 43 43,1 rue Jean-Renaud Dandicole,33000,BORDEAUX,-
LE DOMAINE DE LA CHAUX EHPAD,8079,LA CROIX ROUGE FRANCAISE,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 20 74 08,25 CHEMIN DE CHAMPLONG,69450,ST CYR AU MONT D'OR,-
LE DOMAINE EHPAD,1661,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 80 10 95,,81640,MONESTIES,-
LE FELIBRIGE EHPAD,2152,,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 88 48 69,Rue de Figuéras,13700,MARIGNANE,-
LE FIL D'ARGENT EHPAD,9191,,Laurent DURIEUX,EHPAD,Val de Loire,05 45 22 58 58,16 bis rue Bir'hacheim,16260,CHASSENEUIL SUR BONNIEURE,-
LE FLON EMS,9746,Fondation du Relais,Export,EHPAD,Export,+41 21 908 02 00,Route du Flon 19,1610,ORON-LA-VILLE,-
LE FOYER DU PARC EHPAD,6277,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 77 42 21,"14, rue Alfred Hartmann",68140,MUNSTER,-
LE GARNAGUES EHPAD,6367,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 60 60 31,1 BOULEVARD DE CURTIS,11420,BELPECH,-
LE GONDOLOU EHPAD,15890,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 51 24 00,Maison de Retraite,12190,LE NAYRAC,-
LE HAMEAU EHPAD KORIAN,12594,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 77 62 11,La Bichette,47360,PRAYSSAS,-
LE JARDIN DES AINES EHPAD,5060,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 73 84 44,AVENUE DE NIMES,34190,GANGES,-
LE LAC EHPAD,14069,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 96 28 28,17 Avenue du Lac,70000,VAIVRE ET MONTOILLE,-
LE LOGIS DU SOUDET,18513,,Laurent DURIEUX,EHPAD,Val de Loire,05 45 39 56 31,lieu-dit Le Soudet,16260,LES PINS,-
LE LOGIS MONTIGNAC EHPAD,7267,,Laurent DURIEUX,EHPAD,Val de Loire,05 46 92 01 19,20 route de Montignac,17100,FONTCOUVERTE,-
LE LUY DE BEARN EHPAD,5607,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 12 65 65,17 rue du Bearn,64230,SAUVAGNON,-
LE MARRONNIER RESIDENCE,13029,DOMIDEP,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 25 44 19,65 ALLEE D'IENA,11000,CARCASSONNE,-
LE MONT ROYAL EHPAD,2491,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 89 20 50,Avenue de Mazères,31210,MONTREJEAU,-
LE MONT SOLEIL EHPAD KORIAN,8255,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 66 67 00,CHEMIN DE LA BARQUE,05190,ESPINASSES,-
LE MONTET EHPAD,7592,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 78 56 31 53,9 RUE FRANCISQUE DARCIEUX,69230,ST GENIS LAVAL,-
LE MOULIN EHPAD,6416,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 29 17 29,Association Triniach,66720,LATOUR DE FRANCE,-
LE PARC D'HIVER EHPAD,3849,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 41 52 00,6 avenue Maréchal de Lattre de Tassigny,64200,BIARRITZ,-
LE PASTEL EHPAD,1287,DOMIDEP,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 84 66 66,145 rue du Petit Pastellié,31660,BESSIERES,-
LE PASTOUREL EHPAD,0547,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 84 59 59,"310, Avenue de la Gare",31660,BESSIERES,-
LE PETIT CHENE EHPAD,7392,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 37 43 00,22 RUE DE LA SHAPPE,01230,ST RAMBERT EN BUGEY,-
LE PEYRICAT EHPAD,5327,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 07 52 90,Route de Prebystère,40630,SABRES,-
LE PLESSIS PONT PINEL EHPAD,16994,HABITAT & HUMANISME SOIN,Aurore Auffret,EHPAD,Bretagne,02 99 81 96 09,A l'attention de Mme PAUVERT,35400,ST MALO,-
LE PONTREAU SAINT LUCIEN EHPAD,9214,L'ASSOCIATION DES FOYERS DES PROVINCES,Laurent DURIEUX,EHPAD,Val de Loire,05 49 90 74 94,10 rue Saint Exupéry,86140,LENCLOITRE,-
LE PRE SAINT-GERMAIN EHPAD,5784,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 66 00 07,13 rue du Faubourg,64190,NAVARRENX,-
LE RANZAY EHPAD,13162,KORIAN,Aurore Auffret,EHPAD,Bretagne,02 51 89 83 83,3 Rue du Port Durand,44000,NANTES,-
LE REJAL EHPAD,7724,COS,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 44 21 40,Chemin du Rejal,48320,ISPAGNAC,-
LE RELAIS DE POSTE EHPAD,3279,,Herve QUELO,EHPAD,Centre Auvergne,04 73 88 37 00,14 rue de commerce,63230,PONTGIBAUD,-
LE RELAYS EHPAD,14254,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 99 46 41,5 AVENUE DE SAINT AFFRIQUE,12480,BROQUIES,-
LE ROI GRADLON EHPAD (FUSION 15774 & 15826),16777,CCAS,Aurore Auffret,EHPAD,Bretagne,02 98 95 61 62,RUE DE LA VENDEE,29000,QUIMPER,-
LE TILLEUL D'OR EHPAD,5456,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 46 90 37,PLACE AIRE DE LA CROIX,84110,SABLET,-
LE VERGER EHPAD,4654,UNIVI,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 88 58 30,"68, avenue du Nid",83110,SANARY SUR MER,-
LE VIGEAN EHPAD,4674,ASSOCIATION FOYERS DES AINES,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 28 03 63,2 place André et Yvonne Baudon,33320,EYSINES,-
LE VIGNET EHPAD,3513,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 01 21 21,"162, rue Aire",30420,CALVISSON,-
LES 2 VALLEES EHPAD,16082,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 58 40 00,Rte de Millau,12230,NANT,-
LES 7 FONTAINES EHPAD,4329,France Horizon,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 34 02 00,485 avenue François MITTERAND,81600,GAILLAC,-
LES AGAPANTHES EHPAD,11046,KORIAN,Laurent DURIEUX,EHPAD,Val de Loire,05 49 38 10 51,1 rue Georges Bizet,86000,POITIERS,X
LES AIRELLES EHPAD,8918,CCAS,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 51 83 60,30 AV DE LA VISITATION,74000,ANNECY,-
LES ALLEES DE CHABRIERES EHPAD,9452,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 40 50 60,749 RUE PAUL VALERY,84500,BOLLENE,-
LES ANCOLIES EHPAD,11793,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 08 30 88,100 ROUTE DE CRET,74330,POISY,-
LES ARCADES EHPAD,3542,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 30 80 38,15 AVENUE DE LA LIBERATION,84290,STE CECILE LES VIGNES,-
LES BACCHARIS EHPAD,7084,ASSOCIATION FOYERS DES AINES,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 17 18 00,7 route de Pouzoum,33138,LANTON,-
LES BALCONS DE LEYRE,6198,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 04 41 70,514 rue Broustra,40430,SORE,-
LES BORDS D'AMBROISE EHPAD,6429,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 38 08 20,32 Rue de La Gillonnière,85000,MOUILLERON LE CAPTIF,-
LES BRUYERES EHPAD,9425,,Celine LUCION,EHPAD,Grand Nord-Est,02 32 70 44 40,196 rue de la Myre,76760,YERVILLE,-
LES CAMPELLIS EHPAD,4943,,Herve QUELO,EHPAD,Centre Auvergne,04 73 54 55 70,RUE DE LA HALLE,63320,CHAMPEIX,-
LES CASCADES EHPAD,5174,CCAS,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 62 32 53,150 RUE MAURICE BEJART,34500,BEZIERS,-
LES CASSISSINES KORIAN,13367,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 60 10 20,15RUE JEAN GIONO,21000,DIJON,-
LES CEDRES EHPAD SOURNIA,6492,ASSOCIATION VAL SOURNIA,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 97 79 00,1 rue de Rial,66730,SOURNIA,-
LES CHANTERELLES EHPAD,7660,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,05 49 79 80 39,7 RUE DU TREUIL,79370,CELLES SUR BELLE,-
LES CHARMILLES EHPAD,1617,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 77 83 30,6 rue de l'Albarède,81380,LESCURE D'ALBIGEOIS,-
LES CHENES EHPAD,4458,,Herve QUELO,EHPAD,Centre Auvergne,05 55 04 02 06,3 RUE DU DOCTEUR PASCAUD,87270,COUZEIX,-
LES CHENES VERTS EHPAD,1436,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 68 03 07,623 allée Antoine Bourdelle,82370,VILLEBRUMIER,-
LES CHÊNES VERTS EHPAD,13290,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 68 54 50,Avenue du Général de Gaulle,47240,CASTELCULIER,-
LES CITRONNIERS EHPAD EMEIS,8386,EMEIS (ANCIEN ORPEA),Dorian SANCHEZ,EHPAD,Sud-Est,04 93 37 37 37,1 RUE DU MOULIN,06190,ROQUEBRUNE CAP MARTIN,-
LES CORALLINES EHPAD,13159,KORIAN,Aurore Auffret,EHPAD,Bretagne,02 51 73 11 11,11 Avenue des Corallines,44500,LA BAULE ESCOUBLAC,-
LES CYCLAMENS EHPAD,6456,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 89 01 10,7 Impasse des Houches,74300,MAGLAND,-
LES DOMINICAINES EHPAD,9178,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 73 57 99,2 RUE DU THIRONDEL,34190,GANGES,-
LES FAUBOURGS DE L'ORNE,12927,,Celine LUCION,EHPAD,Grand Nord-Est,03 87 70 96 10,6 RUE LOUIS JOST,57175,GANDRANGE,-
LES FRAXINELLES EHPAD,3088,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 73 20 80,21 rue des Fraxinelles,68750,BERGHEIM,-
LES GENTIANES EHPAD,8308,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 95 22 00,30 CHEMIN DE LA SERVETTE,74100,VETRAZ MONTHOUX,-
LES GENTIANES FLEURIES (1 CDE/6MOIS),5635,RESIDENCE MUTUALITE FRANCAISE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 81 38 61 00,"3, rue des Ateliers",25560,FRASNE,-
LES GLENANS EHPAD SOS SENIORS,13803,SOS,Aurore Auffret,EHPAD,Bretagne,02 40 03 56 57,1 Rue des Guivettes,44115,HAUTE GOULAINE,-
LES GLICIRIDAS EHPAD,8493,,Export,EHPAD,Dom-Tom,05 96 54 72 45,BEAUREGARD,97240,LE FRANCOIS,-
LES GLYCINES EHPAD,9649,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 96 95 89,15 Rue Jean Moulin,73160,COGNIN,-
LES GLYCINES EHPAD,15723,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 41 91 25,1 AV Abbé Aubret,85660,ST PHILBERT DE BOUAINE,-
LES GODENETTES EHPAD,17050,,Celine LUCION,EHPAD,Grand Nord-Est,03 27 20 09 40,5 RUE LOUIS LEMOINE,59125,TRITH ST LEGER,-
LES GRANDS PRES EHPAD,17876,,Niels COLLEU,EHPAD,Normandie,02 37 37 20 92,40 RESIDENCE LES GRANDS PRES,61110,BRETONCELLES,-
LES GRILLONS EHPAD,2879,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 46 71 72,,86340,ASLONNES,-
LES HIBISCUS EHPAD,4536,IGH,Celine LUCION,EHPAD,Grand Nord-Est,03 82 25 85 67,rue Sauci Fosse,54135,MEXY,-
LES HORTENSIAS EHPAD,6797,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 56 97 97,189 chemin Saint-Paul,64240,URT,-
LES JARDINS DE CYBELLE EHPAD,5215,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 91 83 26 00,RUE PEUGNIEZ,62970,COURCELLES LES LENS,-
LES JARDINS DE JEANNE EHPAD COLISEE,4317,COLISEE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 55 68 90,139 avenue Portes,33450,IZON,-
LES JARDINS DE MONTMARTRE EHPAD,2794,UNIVI,IDF,EHPAD,Ile de France,01 42 57 84 84,"18, rue Pierre Picard",75018,PARIS 18,-
LES JARDINS DE RAMBAM EHPAD,5673,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 39 27 09,2 Rue du Tucard,31650,ST ORENS DE GAMEVILLE,-
LES JARDINS DE ST HILAIRE EHPAD,9129,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 60 68 60,131 CHEMIN DE CAMP ARDON,30560,ST HILAIRE DE BRETHMAS,-
LES JARDINS DE THENON EHPAD++,9199,DOMIDEP,Laurent DURIEUX,EHPAD,Val de Loire,05 53 06 64 30,1 rue Pierre Loti,24210,THENON,-
LES JARDINS DES HAUTS DE SAINTE ALVERE EHPAD,10367,DOMIDEP,Laurent DURIEUX,EHPAD,Val de Loire,05 53 22 70 41,7 rue de lostanges,24510,STE ALVERE,-
LES JARDINS DES SOURCES,9389,,Herve QUELO,EHPAD,Centre Auvergne,04 70 64 40 08,"5, allée Danièle Mitterand",03630,DESERTINES,-
LES JARDINS DU GO EHPAD,9310,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,05 46 28 99 10,2 rue de L'Aubrecay,17137,NIEUL SUR MER,-
LES JARDINS DU VERT PRAUD EHPAD,8429,,Aurore Auffret,EHPAD,Bretagne,02 28 27 29 00,100 rue du vert praud,44400,REZE,-
LES JARDINS MEDICIS,5183,DOMUSVI,Celine LUCION,EHPAD,Grand Nord-Est,03 44 12 40 20,12 RUE DE L'ARGILIERE,60110,ESCHES,-
LES JARDINS SAINT JACQUES EHPAD,4014,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 35 80 80,"28 bis, rue Denis Diderot",66000,PERPIGNAN,-
LES LANDIERS EHPAD,9324,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 78 78 32 32,A/A DE L'INFIRMERIE,69500,BRON,-
LES LATANIERS EHPAD,15386,Fondation Père Favron,Export,EHPAD,Dom-Tom,+262 262 22 23 23,102 Rue Raymond Mondon,97419,LA POSSESSION,-
LES LAURENTIDES EHPAD,4397,,Niels COLLEU,EHPAD,Normandie,02 33 25 91 82,Le Portail,61190,TOUROUVRE,-
LES LIERRES EHPAD RESIDENCE,1836,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 32 16 96,3 rue Bernard de Clairvaux,64000,PAU,-
LES LOGIS D'AURE EHPAD,8082,Fondation Partage et Vie (ex Caisse d'Epargne),Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 39 91 78,5 chemin de la Magnette,65240,GUCHEN,-
LES LOGIS DU PARC MOUSSIER EHPAD,3306,ITINOVA,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 48 16 95,"3, rue du Centre",21130,ATHEE,-
LES LUCIOLES EHPAD,2550,,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 37 75 00,"3, avenue des Baumettes",06000,NICE,-
