Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
DE LA GARE PHARMACIE (ex 3774),15441,,Aurore Auffret,PHARMACIE,Bretagne,02 40 61 05 52,2 Avenue du General de Gaulle,44380,PORNICHET,-
DE LA GARE PHARMACIE (GIPHAR),4527,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 86 96 96,49 Avenue Charles de Gaulle,71400,AUTUN,-
DE LA GRAND'RUE PHARMACIE - MUNSTER,6489,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 89 77 36 96,35 Grand'rue,68140,MUNSTER,-
DE LA HALLE PHARMACIE,12281,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 83 50 56,2 Avenue de Castres,31250,REVEL,-
DE LA HAUTE LOGE PHARMACIE,6987,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 28 41 65 31,37 avenue de la haute Loge,59190,HAZEBROUCK,-
DE LA LAMPROIE PHARMACIE,13003,GIPHAR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 57 47 18 73,43 ave du Pont,33350,SAINTE-TERRE,-
DE LA LANTERNE PHARMACIE,9055,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 83 38 22,14 AVENUE DE LA LANTERNE,06200,NICE,X
DE LA LIBERTE PHARMACIE (EX 2116),15169,GIPHAR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 85 99 67,79 rue Léon Gambetta,33130,BEGLES,-
DE LA MAIRIE PHARMACIE,12036,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 26 80 38,146 avenue franklin roosevelt,69500,BRON,-
DE LA MARINE PHARMACIE (COMPTOIR ONLY),7872,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 92 38 74,7 PLACE GAMBETTA,83000,TOULON,-
DE LA MEDITERRANEE PHIE (EX 1974),16676,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 32 23 23,ZAC DE BELLEGARDE,34410,SERIGNAN,-
DE LA MER PHARMACIE,2465,,Niels COLLEU,PHARMACIE,Normandie,02 31 97 32 10,1 place de l'Etoile,14530,LUC SUR MER,-
DE LA MILADY PHARMACIE,2996,PHARMACORP,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 41 21 91,"30, Avenue de la Milady",64200,BIARRITZ,-
DE LA MITRE PHARMACIE (ANC 3224),14891,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 46 95 30,140 Bd DR CUNEO,83000,TOULON,-
DE LA NATIONALE PHARMACIE,4336,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 34 27 03 27,25 route Départementale 820,31790,ST JORY,-
DE LA PAIX PHARMACIE,0182,APRIUM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 02 66 47,"155, Boulevard de la Paix",64000,PAU,-
DE LA PASSERELLE PHARMACIE,8780,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 24 50 68,770 BD DE L'ESCAILLON,83200,TOULON,-
DE LA PLACE PHARMACIE,4643,,Aurore Auffret,PHARMACIE,Bretagne,02 40 26 80 19,9 rue de la mairie,44860,PONT ST MARTIN,X
DE LA PLACE PHARMACIE,9223,GIROPHARM,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 56 08 57,3 place Mathieu Jaboulay,69230,ST GENIS LAVAL,-
DE LA PLACE PHARMACIE - GIPHAR,4598,GIPHAR,Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 01 10 20,130 RUE ROGER SALENGRO,62330,ISBERGUES,-
DE LA PLACE PHARMACIE - ZIMMERMANN - MUNSTER,5966,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 89 77 36 19,"16, place du marché",68140,MUNSTER,-
DE LA PLACE PHIE,10468,PHARMACTIVE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 98 50 22,105 place du jeu de paume,34290,MONTBLANC,-
DE LA PLAINE PHARMACIE COMPTOIR ONLY,11571,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 08 90 19,Quartier de la digue,06670,ST MARTIN DU VAR,-
DE LA PORTE D'ESPAGNE PHARMACIE,17891,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 56 52 46,"Centre Commercial Auchan,",66000,PERPIGNAN,-
DE LA POSTE (GIPHAR) PHIE - CHAMPAGNOLE,9392,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 84 52 14 54,"38, avenue de la République",39300,CHAMPAGNOLE,-
DE LA POSTE PHARMACIE,13212,,Aurore Auffret,PHARMACIE,Bretagne,02 98 69 70 34,15 Rue Gambetta,29680,ROSCOFF,-
DE LA PRADE PHARMACIE,15470,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 62 01 59 13,2 Grand Rue,31410,LONGAGES,-
DE LA PROVIDENCE - HILSENHEIM PHARMACIE,6015,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 85 43 06,"26, rue Muttersholtz",67600,HILSENHEIM,-
DE LA PUISAYE PHARMACIE,15752,,Herve QUELO,PHARMACIE,Centre Auvergne,03 86 44 14 11,"24 PLACE DES FRERES, RUE EMILE GENE",89130,TOUCY,-
DE LA REPUBLIQUE PHARMACIE,18301,,Aurore Auffret,PHARMACIE,Centre Auvergne,03 86 87 07 77,11 PLACE DE LA REPUBLIQUE,89500,VILLENEUVE SUR YONNE,-
DE LA RIVIERE PHARMACIE - LA RIVIERE DE CORPS,10339,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 25 79 40 15,37 B Rue Jean Jaurès,10440,LA RIVIERE DE CORPS,X
DE LA SAINTE BAUME PHARMACIE,9836,LEADER SANTE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 98 05 20 98,CC LE GRAND CEDRE,83470,ST MAXIMIN LA STE BAUME,-
DE LA SAVE PHARMACIE,3493,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 85 71 29,1 route de Toulouse,31530,MONTAIGUT SUR SAVE,-
DE LA SOURCE PHARMACIE,4300,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 33 50 31,10 avenue de la Liberté,63530,VOLVIC,-
DE LA THURE PHARMACIE,3253,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 27 63 20 44,"142, place Charles de Gaulle",59149,COUSOLRE,-
DE LA TORTIERE PHARMACIE,16239,UNIPHARM Loire Ocean (Apsara),Aurore Auffret,PHARMACIE,Bretagne,02 40 74 77 41,159 BOULEVARD DES BELGES,44000,NANTES,-
DE LA TOUR BLANCHE PHARMACIE,3372,OPTIPHARM,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 91 11 65,11 place de Nanchapt,24320,LA TOUR BLANCHE,-
DE LA TOUR DE FLORE MAS,16277,,Aurelien COURTOISIER,EMS,Centre-Est,03 84 73 06 89,2 RUE DE LA TOUR DE FLORE,39110,SALINS LES BAINS,-
DE LA TOUR PHIE,3250,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 90 51 06,"7, avenue de Béziers",34310,MONTADY,-
DE LA VALLEE D'OSSAU EHPAD-EX 10101,17649,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 05 75 44,5 avenue Aristide Briand,64260,LOUVIE JUZON,-
DE LA VALLEE PHARMACIE,10100,PHARMACIE REFERENCE/PHR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 05 60 60,6 rue de Trey,64260,ARUDY,-
DE LA VALLEE VERTE PHARMACIE,15390,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 39 10 08,PLACE DES MARRONNIERS,74420,BOEGE,-
DE LA VANOISE PHARMACIE,14863,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 79 22 19 20,15 RUE JEAN JAURES,73350,BOZEL,-
DE LA VEYLE PHARMACIE,9205,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 74 30 40 48,117 Route de Bourg en Bresse,01310,POLLIAT,-
DE LA VICOMTE PHARMACIE,4925,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 55 22 04 22,305 Avenue du Sénateur Labrousse,19500,TURENNE,-
DE LAFRANCAISE (EX ENJALBERT LAMASSIAUDE) PHARMACIE,5991,PHARMACORP,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 65 80 13,47 Rue Louis Pernon,82130,LAFRANCAISE,-
DE LAMONTJOIE PHARMACIE,4553,SRA,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 53 95 12 18,Place Nemours,47310,LAMONTJOIE,X
DE LARDENNE PHARMACIE,8545,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 49 10 18,261 Avenue de Lardenne,31100,TOULOUSE,-
DE LAUTREC PHARMACIE,2871,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 75 90 19,Place Saint Rémy,81440,LAUTREC,-
DE LESTONAN PHARMACIE (EX 4010),17070,,Aurore Auffret,PHARMACIE,Bretagne,02 98 59 57 06,56 AVENUE DE LESTONAN,29500,ERGUE GABERIC,-
DE LEWARDE PHARMACIE (49 PILLULIERS/MOIS),12863,DPGS (Apsara),Celine LUCION,PHARMACIE,Grand Nord-Est,03 27 98 03 02,"62, rue de l'Egalité",59287,LEWARDE,-
DE LUZE PHARMACIE,7183,CAP-UNIPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 57 87 08 63,2 bis rue Lagrange,33000,BORDEAUX,-
DE L’AVENUE PHARMACIE,7816,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 86 93 78,4 avenue de Boulogne,62140,MARCONNE,-
DE MAZEILLES PHIE,2004,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 39 55 23,22 BIS AVENUE PAUL VIDAL,34410,SAUVIAN,-
DE MAZEROLLES PHARMACIE,5650,PHARMACTIVE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 77 12 74,15 Route d'Arzacq,64230,MAZEROLLES,-
DE MILLIANE PHARMACIE,12150,GIROPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 67 01 82,68 Boulevard Alsace Lorraine,09100,PAMIERS,-
DE MIONNAY PHARMACIE (EX 3757),14153,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 37 26 06 94,92 RUE PRINCIPALE,01390,MIONNAY,-
DE MONTPLAIN PHARMACIE,9464,,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 60 08 64,48 avenue de Lioran,15100,ST FLOUR,-
DE PENHARS PHARMACIE - QUIMPER,11411,WELLPHARMA,Aurore Auffret,PHARMACIE,Bretagne,02 98 55 13 65,"2, allée des Fauvettes",29000,QUIMPER,-
DE PICARDIE PHARMACIE,14722,PHARMAVIE,Celine LUCION,PHARMACIE,Grand Nord-Est,03 22 69 69 00,Centre Commercial Carrefour,80000,AMIENS,-
DE PORTISSOL PHIE (REMPLACE 3070),17072,APP COTE D'AZUR,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 74 14 62,275 AVENUE DE PORTISSOL,83110,SANARY SUR MER,-
DE PRADINES PHARMACIE,2976,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 65 35 61 24,"1, route du Gymnase",46090,PRADINES,-
DE PRECIGNE PHARMACIE,4605,,Laurent DURIEUX,PHARMACIE,Val de Loire,02 43 95 40 12,15 RUE EMILE PENEAUD,72410,PRECIGNE,-
DE REICHSHOFFEN PHARMACIE,5440,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 09 03 27,"10 Bis, rue d'Haguenau",67110,REICHSHOFFEN,-
DE SABRES PHARMACIE,5258,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 07 50 30,Bourg Est,40630,SABRES,-
DE SAINT REMY PHARMACIE (EX4392),17306,,IDF,PHARMACIE,Ile de France,02 37 48 92 05,9 rue du Marché Couvert,28380,ST REMY SUR AVRE,-
DE SAINTE BAZEILLE PHARMACIE,12175,37°,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 53 94 40 05,4 Place du Docteur Belot,47180,STE BAZEILLE,-
DE SALLEBOEUF PHARMACIE,0550,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 21 96 04,2 allée des Commerces,33370,SALLEBOEUF,-
DE SARROLA (EX PHARMACIE) DU CASONE PHARMACIE,3194,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 21 66 59,Lieudit Effrico,20167,SARROLA CARCOPINO,-
DE SAUVAGNON PHARMACIE,5535,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 33 12 67,1 rue des Pyrénées,64230,SAUVAGNON,-
DE SEREILHAC PHARMACIE (GIPHAR),6016,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 39 10 29,"45, avenue de l'Occitanie",87620,SEREILHAC,-
DE SORE PHARMACIE (ex 3825),17303,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 07 60 31,4 Place de la République,40430,SORE,-
DE ST JEANNET MAS AFPJR,7870,,Dorian SANCHEZ,EMS,Sud-Est,04 92 11 20 12,CHEMIN DE BEAUME GUERARD,06640,ST JEANNET,-
DE THISE PHARMACIE,16018,PHARMAVIE,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 81 61 04 20,RUE DU MONUMENT,25220,THISE,-
DE TOKORO PHARMACIE RPET,13911,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 92 56 10 10,86 AVENUE D'EMBRUN,05000,GAP,X
DE VALBERTRAND PHARMACIE COMPTOIR ONLY,11480,HPI-TOTUM,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 24 16 29,385 AV CHARLES GANTELME,83200,TOULON,-
DE VASSIEUX CREPIEUX PHARMACIE,18368,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 98 82 86,107 Rte de Strasbourg,69300,CALUIRE ET CUIRE,-
DE VAYRES PHARMACIE,6932,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 57 74 85 22,1 rue du Docteur Marc Pinot,33870,VAYRES,-
DE VENCE MAS,17602,,Dorian SANCHEZ,EMS,Sud-Est,04 93 24 56 24,1760 AVENUE DE PROVENCE,06140,VENCE,-
DE VIE LE BELLACHAT FOYER,13332,,Aurelien COURTOISIER,EMS,Centre-Est,04 79 20 57 40,31 ROUTE DE ST FRANCOIS,73130,ST MARTIN SUR LA CHAMBRE,-
DE VIE ST APPOLINAIRE FOYER,17958,,Aurelien COURTOISIER,EMS,Centre-Est,04 74 05 11 82,LE BOURG,69170,ST APPOLINAIRE,-
de YERVILLE PHARMACIE,9423,,Celine LUCION,PHARMACIE,Grand Nord-Est,02 32 70 49 49,2 rue Jacques Ferny,76760,YERVILLE,-
DELAPIERRE PHARMACIE,4448,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 08 71 60,"4, PLACE DU GENERAL DE GAULLE",59840,PERENCHIES,-
DELGUTTE PHARMACIE,7435,OBJECTIF PHARMA,Herve QUELO,PHARMACIE,Centre Auvergne,03 86 61 43 09,Centre commercial,58000,NEVERS,X
DELOS APEI 78 - FOYER D'HEBERGEMENT LES CORDELIERS,13323,,IDF,EMS,Ile de France,07 52 62 51 62,Foyer d'Hébergement les Cordeliers,78200,MANTES LA JOLIE,-
DELTA PLUS PANAZOL,3362,,Herve QUELO,EMS,Centre Auvergne,07 78 41 50 59,8 rue Boileau,87350,PANAZOL,-
DEMI-LUNE PHARMACIE,2978,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 37 24 00,8 rue de la demi-lune,86000,POITIERS,-
DES 2 BAIES PHARMACIE,16996,,Export,PHARMACIE,Export,412535,Ccial Korail Pont-des-Francais,98874,"PONT DES FRANCAIS, MONT DORE",-
DES 3 MOULINS PHARMACIE,18132,,Aurore Auffret,PHARMACIE,Bretagne,02 40 75 63 10,92 RUE ARISTIDE BRIAND,44400,REZE,-
DES 4 COULEURS PHARMACIE,3926,GIPHAR,Celine LUCION,PHARMACIE,Grand Nord-Est,03 23 07 11 21,58 rue du Chateau,02110,BOHAIN EN VERMANDOIS,-
DES 4 SAISONS PHARMACIE,11132,GIROPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 33 23 66,Route de Bordeaux,64121,SERRES CASTET,-
DES 4 VENTS PHARMACIE,7032,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 48 00 25,44 place de la république,86310,ST SAVIN,-
DES ACCATES GRANDE PHIE (EX 10467),18477,PHARMA PROVENCE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 91 27 25 88,111 ROUTE DES CAMOINS,13011,MARSEILLE 11,-
DES ALLEES MARINES PHARMACIE,3060,OBJECTIF PHARMA,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 72 11 19,20 allées Marines,40130,CAPBRETON,-
DES ALLEES PHARMACIE,8197,GIPHAR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 29 72 41,Place Duhalde,64250,CAMBO LES BAINS,-
DES ALOUETTES PHARMACIE,2611,,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 48 52 00,"7, rue d'Illzach",15000,AURILLAC,-
DES ARBORAS PHARMACIE,3872,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 73 05 72,"17, rue Francis de Pressencé",69520,GRIGNY,-
DES ARCADES PHARMACIE,0260,PHARMACTIVE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 71 50 27,11 place de la République,33540,SAUVETERRE DE GUYENNE,-
DES ARCADES PHARMACIE (ex 5588),17192,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 81 84 40 20,2 PLACE DE LA LOI,25110,BAUME LES DAMES,-
DES ARCADES PHIE,17272,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 92 62 65 55,8 AVENUE DES ARCADES,04200,SISTERON,-
DES ARCEAUX PHARMACIE,4054,GIROPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 24 06 74,"52, Avenue Edouard VII",64200,BIARRITZ,-
DES ARTISTES (EXTOUATI) PHARMACIE (PAS DE FDP),2911,GROUPAPHARM (Apsara),IDF,PHARMACIE,Ile de France,01 48 78 40 43,"7, boulevard de Clichy",75009,PARIS 09,-
DES ARTS PHARMACIE,4179,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 84 04 78,64 esplanade Bellecourt,31660,BESSIERES,-
DES ARVERNES PHARMACIE,4528,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 69 60 28,36 avenue du Docteur Louis PRESLE,63960,VEYRE MONTON,X
DES AUGUSTINS PHIE - MULHOUSE,10269,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 89 32 16 66,258 rue de Belfort,68200,MULHOUSE,-
DES AYERS PHARMACIE,17553,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 46 12 46,21 Rue Henri Marc,21800,CHEVIGNY ST SAUVEUR,-
DES BAINS PHARMACIE,16115,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 84 73 08 03,11 avenue Aristide Briand,39110,SALINS LES BAINS,-
DES BASTIDES PHARMACIE (QUILICHINI),1096,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 78 41 61,"50, Avenue Bastides",83910,POURRIERES,-
DES BOCQUETS PHARMACIE,10163,Unipharm Grand Ouest (apsara),Celine LUCION,PHARMACIE,Grand Nord-Est,02 35 59 77 66,Avenue de l'Europe,76230,BOIS GUILLAUME,-
DES BOYERES PHARMACIE,12655,PHARMA PROVENCE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 21 66 07,119 RUE PIERRE REVELLI,83130,LA GARDE,-
DES BRAYAUDS PHARMACIE,9822,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 63 30 70,"1, Allée des Roucombatoux",63200,ST BONNET PRES RIOM,-
DES CALQUIERES PHIE,9740,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 73 84 12,AVENUE MONT AIGOUAL,34190,GANGES,-
DES CAPUCINS PHIE (EX 3319),13897,LEADER SANTE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 42 80 10 75,20 chemin du Couteau,13500,MARTIGUES,-
DES CERISIERS 'GIPHAR' PHARMACIE (NEW 16245),4104,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 57 44 11,"46, rue de la Libération",21240,TALANT,-
DES CHAMPS DOLENT PHARMACIE,6143,HPI-TOTUM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 44 05 68 33,Centre commercial Les Champs Dolent,60000,BEAUVAIS,-
DES CIGALES PHARMACIE,5294,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 72 43 94,20 boulevard des Cigales,40130,CAPBRETON,-
DES CORDIERS PHARMACIE,10832,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 20 14 93,10 Route d'Arnay,21360,BLIGNY SUR OUCHE,-
DES COTES FLEURIES 'GIPHAR' PHARMACIE,3320,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 31 46 01,"67, boulevard Maurice Pourchon",63000,CLERMONT FERRAND,-
DES DOMES PHARMACIE,3280,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 88 70 20,11 Place de la République,63230,PONTGIBAUD,-
des ecoles Pharmacie,18647,,IDF,PHARMACIE,Ile de France,01 46 77 61 22,22 bis Rue Jean Jaurès,94800,VILLEJUIF,-
DES FLORALIES (BETRY) PHARMACIE,3240,UNIVERS PHARMACIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 64 18 20,"41, avenue de Cannes",06220,VALLAURIS,-
DES FONTAINES PHIE GEMENOS,2782,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 42 32 26 99,"172, avenue de la 1ére DB",13420,GEMENOS,-
DES FONTENELLES PHARMACIE,4061,MANDARIN,Aurore Auffret,PHARMACIE,Bretagne,02 99 40 20 57,19 AVENUE DES FONTENELLES,35400,ST MALO,-
DES GAYEULLES (ANC.DU GAST) PHARMACIE (COMPTOIR ONLY),2900,,Aurore Auffret,PHARMACIE,Bretagne,02 99 36 39 94,34 Place Lucie Raymond AUBRAC,35700,RENNES,-
DES GLYCINES PHARMACIE,15735,,Laurent DURIEUX,PHARMACIE,Val de Loire,02 51 41 92 33,2 avenue des acacias,85660,ST PHILBERT DE BOUAINE,-
DES GRANDES VIGNES PHARMACIE,5322,PHARMACIE REFERENCE/PHR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 63 27 42,13 rue de la Liberté,33210,PREIGNAC,X
DES HALLES PHARMACIE APRIUM,7306,APRIUM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 57 46 00 33,2 place Jean Jaurès,33220,SAINTE-FOY-LA-GRANDE,-
DES HALLES PHARMACIE BAIGNES STE RADEGONDE,7284,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 45 78 40 71,6 PLACE DES HALLES,16360,BAIGNES STE RADEGONDE,-
DES HALLES PHARMACIES,18084,,Niels COLLEU,PHARMACIE,Normandie,02 33 65 00 82,17 Rue de la Boule,61100,FLERS,-
DES ILES PHARMACIE,9715,,Herve QUELO,PHARMACIE,Centre Auvergne,04 70 08 43 60,Centre commercial de la Rotonde,03100,MONTLUCON,-
DES IZARDS PHARMACIE - 50/50 AC 7979,9216,OPTIPHARM,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 53 43 23,55 AVENUE DU GENERAL DE GAULLE,24660,COULOUNIEIX CHAMIERS,-
DES JACOBINS PHARMACIE,1190,,Celine LUCION,PHARMACIE,Grand Nord-Est,03.22.22.45.85,18 rue Ernest Cauvin,80000,AMIENS,-
DES JASMINS PHARMACIE,12763,PHARMACIE REFERENCE/PHR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 53 96 07 12,322 avenue Albert Camus,47240,BON ENCONTRE,-
DES JONCHETS PHARMACIE (COMPTOIR),4330,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 81 94 35 32,24 rue Pierre CURIE,25200,GRAND CHARMONT,-
DES LACS PHARMACIE,2639,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 46 84 29,La Lande Route de Rodez,12290,PONT DE SALARS,-
DES LYS PHARMACIE (EX 8083) envoyer du RPET,15588,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 62 98 62 23,12 Grande Rue,65240,ARREAU,-
DES MARRONIERS PHARMACIE,5081,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 84 00 90,"17, avenue Centrale",63670,LE CENDRE,-
DES MARRONNIERS PHARMACIE,15942,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 63 00 04,33 rue du Général De Gaulle,79390,THENEZAY,-
DES MATELLES PHIE,5923,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 84 06 79,7 rue des Santolines,34270,LES MATELLES,-
DES MIMOSAS PHARMACIE (EX 6493),15279,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 97 74 66,1 RUE DE L'ESCALIER DE PIERRE,66730,SOURNIA,-
DES MINGUETTES PHARMACIE,12942,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 70 20 50,9 rue Albert Camus,69200,VENISSIEUX,-
DES MORDACS PHARMACIE - COMPTOIR ONLY,9230,LEADER SANTE,IDF,PHARMACIE,Ile de France,01 48 80 58 10,11-12 Place Georges Marchais,94500,CHAMPIGNY SUR MARNE,-
DES NESTES SELARL PHARMACIE (EX 1425),15505,HPI-TOTUM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 62 39 70 15,22 avenue des Vallées,65150,ST LAURENT DE NESTE,-
DES OLIVIERS (EX ODDES) PHARMACIE,2667,UPP,Herve QUELO,PHARMACIE,Centre Auvergne,04 75 35 03 23,"45, rue docteur Louis Pargoire",07200,AUBENAS,-
DES OLIVIERS PHARMACIE( new 18656),4608,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 40 40 54,18 rue de l'Aspin,31100,TOULOUSE,-
DES PALMIERS PHARMACIE,8107,PHARMACTIVE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 23 34 93,AV MARECHAL MONCEY,20000,AJACCIO,-
DES PAVILLONS BLANCS JACQUES DELPRAT FAM,15100,,Laurent DURIEUX,EMS,Val de Loire,05 53 27 18 24,8 Rue Galmot,24540,MONPAZIER,-
DES REMPARTS PHIE,9024,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 42 61 56 32,8 COURS ESQUIROS,13530,TRETS,-
DES RIVIERES PHARMACIE (ANC. SOUCHAL),2448,GIROPHARM,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 82 15 79,33 avenue Georges Clémenceau,23170,CHAMBON SUR VOUEIZE,X
DES ROCHES PHARMACIE,15566,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 84 48 27 94,3 RUE DE CRESSARD CRANCOT,39570,HAUTEROCHE,X
DES SALINES PHARMACIE (GIPHAR),3831,GIPHAR,Laurent DURIEUX,PHARMACIE,Val de Loire,02 51 32 02 72,16 Avenue Georges Pompidou,85100,LES SABLES D'OLONNE,-
DES SOURCES PHARMACIE (EX 2933),14943,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 35 83 41,2 Rue Nationale,63130,ROYAT,-
DES SOURCES PHARMACIE (EX 7504),16501,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 04 18 18,23 place Aristide Briand,40110,MORCENX,-
