Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
LES BRUYERES EHPAD,9425,,Celine LUCION,EHPAD,Grand Nord-Est,02 32 70 44 40,196 rue de la Myre,76760,YERVILLE,-,0.897938,49.666654,0.9015008539944903,0.5924928159645232,196 Rue de la Myre 76760 Yerville,housenumber,76752_0330_00196,196,196 Rue de la Myre,Rue de la Myre,76760,Yerville,"76, Seine-Maritime, Normandie",76752,,,,ok
LES CAMPELLIS EHPAD,4943,,Herve QUELO,EHPAD,Centre Auvergne,04 73 54 55 70,RUE DE LA HALLE,63320,CHAMPEIX,-,3.129559,45.588099,0.8909266666666666,0.7263335294117645,Rue de la Halle 63320 Champeix,street,63080_0146,,Rue de la Halle,Rue de la Halle,63320,Champeix,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63080,,,,ok
LES CASCADES EHPAD,5174,CCAS,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 62 32 53,150 RUE MAURICE BEJART,34500,BEZIERS,-,3.250556,43.332356,0.9131004040404039,,150 Rue Maurice Béjart 34500 Béziers,housenumber,34032_1036_00150,150,150 Rue Maurice Béjart,Rue Maurice Béjart,34500,Béziers,"34, Hérault, Occitanie",34032,,,,ok
LES CASSISSINES KORIAN,13367,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 60 10 20,15RUE JEAN GIONO,21000,DIJON,-,5.050852,47.353168,0.8427435064935064,,Rue Jean Giono 21000 Dijon,street,21231_4505,,Rue Jean Giono,Rue Jean Giono,21000,Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21231,,,,ok
LES CEDRES EHPAD SOURNIA,6492,ASSOCIATION VAL SOURNIA,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 97 79 00,1 rue de Rial,66730,SOURNIA,-,2.444343,42.727125,0.7514158620689655,0.5075316042780749,1 Rue du Rial 66730 Sournia,housenumber,66198_0047_00001,1,1 Rue du Rial,Rue du Rial,66730,Sournia,"66, Pyrénées-Orientales, Occitanie",66198,,,,ok
LES CHANTERELLES EHPAD,7660,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,05 49 79 80 39,7 RUE DU TREUIL,79370,CELLES SUR BELLE,-,-0.216496,46.258532,0.9050567464114831,,7 Rue du Treuil 79370 Celles-sur-Belle,housenumber,79061_0058_00007,7,7 Rue du Treuil,Rue du Treuil,79370,Celles-sur-Belle,"79, Deux-Sèvres, Nouvelle-Aquitaine",79061,79061,Celles-sur-Belle,,ok
LES CHARMILLES EHPAD,1617,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 77 83 30,6 rue de l'Albarède,81380,LESCURE D'ALBIGEOIS,-,2.171991,43.94986,0.9168259595959595,,6 Rue de l'Albarède 81380 Lescure-d'Albigeois,housenumber,81144_0037_00006,6,6 Rue de l'Albarède,Rue de l'Albarède,81380,Lescure-d'Albigeois,"81, Tarn, Occitanie",81144,,,,ok
LES CHENES EHPAD,4458,,Herve QUELO,EHPAD,Centre Auvergne,05 55 04 02 06,3 RUE DU DOCTEUR PASCAUD,87270,COUZEIX,-,1.236259,45.880863,0.77505,,3 Rue du Docteur Robert Pascaud 87270 Couzeix,housenumber,87050_0255_00003,3,3 Rue du Docteur Robert Pascaud,Rue du Docteur Robert Pascaud,87270,Couzeix,"87, Haute-Vienne, Nouvelle-Aquitaine",87050,,,,ok
LES CHENES VERTS EHPAD,1436,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 68 03 07,623 allée Antoine Bourdelle,82370,VILLEBRUMIER,-,1.449033,43.907712,0.903642490118577,,623 Allee Antoine Bourdelle 82370 Villebrumier,housenumber,82194_0006_00623,623,623 Allee Antoine Bourdelle,Allee Antoine Bourdelle,82370,Villebrumier,"82, Tarn-et-Garonne, Occitanie",82194,,,,ok
LES CHÊNES VERTS EHPAD,13290,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 68 54 50,Avenue du Général de Gaulle,47240,CASTELCULIER,-,0.69364,44.176549,0.9156761264822133,,Avenue du Général de Gaulle 47240 Castelculier,street,47051_0016,,Avenue du Général de Gaulle,Avenue du Général de Gaulle,47240,Castelculier,"47, Lot-et-Garonne, Nouvelle-Aquitaine",47051,,,,ok
LES CITRONNIERS EHPAD EMEIS,8386,EMEIS (ANCIEN ORPEA),Dorian SANCHEZ,EHPAD,Sud-Est,04 93 37 37 37,1 RUE DU MOULIN,06190,ROQUEBRUNE CAP MARTIN,-,7.481428,43.765073,0.9169739746300212,0.7369109090909091,1 Rue du Moulin 06190 Roquebrune-Cap-Martin,housenumber,06104_0740_00001,1,1 Rue du Moulin,Rue du Moulin,06190,Roquebrune-Cap-Martin,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06104,,,,ok
LES CORALLINES EHPAD,13159,KORIAN,Aurore Auffret,EHPAD,Bretagne,02 51 73 11 11,11 Avenue des Corallines,44500,LA BAULE ESCOUBLAC,-,-2.394621,47.287991,0.9245487940630797,0.6592131168831169,11 Avenue des Corallines 44500 La Baule-Escoublac,housenumber,44055_0910_00011,11,11 Avenue des Corallines,Avenue des Corallines,44500,La Baule-Escoublac,"44, Loire-Atlantique, Pays de la Loire",44055,,,,ok
LES CYCLAMENS EHPAD,6456,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 89 01 10,7 Impasse des Houches,74300,MAGLAND,-,6.619106,46.022152,0.9029492207792207,,7 Impasse des Houches 74300 Magland,housenumber,74159_0350_00007,7,7 Impasse des Houches,Impasse des Houches,74300,Magland,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74159,,,,ok
LES DOMINICAINES EHPAD,9178,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 73 57 99,2 RUE DU THIRONDEL,34190,GANGES,-,3.71525,43.938031,0.8984407917888562,0.661865933014354,2 Rue du Thirondel 34190 Ganges,housenumber,34111_0551_00002,2,2 Rue du Thirondel,Rue du Thirondel,34190,Ganges,"34, Hérault, Occitanie",34111,,,,ok
LES FAUBOURGS DE L'ORNE,12927,,Celine LUCION,EHPAD,Grand Nord-Est,03 87 70 96 10,6 RUE LOUIS JOST,57175,GANDRANGE,-,6.124449,49.272643,0.9043845454545454,,6 Rue Louis Jost 57175 Gandrange,housenumber,57242_0260_00006,6,6 Rue Louis Jost,Rue Louis Jost,57175,Gandrange,"57, Moselle, Grand Est",57242,,,,ok
LES FRAXINELLES EHPAD,3088,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 73 20 80,21 rue des Fraxinelles,68750,BERGHEIM,-,7.37166,48.202666,0.9030335872235871,,21 Rue des Fraxinelles 68750 Bergheim,housenumber,68028_0167_00021,21,21 Rue des Fraxinelles,Rue des Fraxinelles,68750,Bergheim,"68, Haut-Rhin, Grand Est",68028,,,,ok
LES GENTIANES EHPAD,8308,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 95 22 00,30 CHEMIN DE LA SERVETTE,74100,VETRAZ MONTHOUX,-,6.250179,46.183465,0.8449096969696969,,Chemin de servette 74100 Vétraz-Monthoux,street,74298_0560,,Chemin de servette,Chemin de servette,74100,Vétraz-Monthoux,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74298,,,,ok
LES GENTIANES FLEURIES (1 CDE/6MOIS),5635,RESIDENCE MUTUALITE FRANCAISE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 81 38 61 00,"3, rue des Ateliers",25560,FRASNE,-,6.157415,46.853949,0.8903726099706744,,3 Rue des Ateliers 25560 Frasne,housenumber,25259_0001_00003,3,3 Rue des Ateliers,Rue des Ateliers,25560,Frasne,"25, Doubs, Bourgogne-Franche-Comté",25259,,,,ok
LES GLENANS EHPAD SOS SENIORS,13803,SOS,Aurore Auffret,EHPAD,Bretagne,02 40 03 56 57,1 Rue des Guivettes,44115,HAUTE GOULAINE,-,-1.445033,47.217089,0.9070272727272727,0.6749535353535353,1 Rue des guivettes 44115 Haute-Goulaine,housenumber,44071_0150_00001,1,1 Rue des guivettes,Rue des guivettes,44115,Haute-Goulaine,"44, Loire-Atlantique, Pays de la Loire",44071,,,,ok
LES GLICIRIDAS EHPAD,8493,,Export,EHPAD,Dom-Tom,05 96 54 72 45,BEAUREGARD,97240,LE FRANCOIS,-,-60.896293,14.606455,0.6759586602870813,,Chemin de Beauregard 97240 Le François,street,97210_f0fwjq,,Chemin de Beauregard,Chemin de Beauregard,97240,Le François,"972, Martinique",97210,,,,ok
LES GLYCINES EHPAD,9649,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 96 95 89,15 Rue Jean Moulin,73160,COGNIN,-,5.894482,45.564071,0.8988962463343106,0.4933306382978723,15 Rue jean moulin 73160 Cognin,housenumber,73087_0450_00015,15,15 Rue jean moulin,Rue jean moulin,73160,Cognin,"73, Savoie, Auvergne-Rhône-Alpes",73087,,,,ok
LES GLYCINES EHPAD,15723,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 41 91 25,1 AV Abbé Aubret,85660,ST PHILBERT DE BOUAINE,-,-1.521705,46.985754,0.7589716638078902,,1 Avenue abbé aubret 85660 Saint-Philbert-de-Bouaine,housenumber,85262_0069_00001,1,1 Avenue abbé aubret,Avenue abbé aubret,85660,Saint-Philbert-de-Bouaine,"85, Vendée, Pays de la Loire",85262,,,,ok
LES GODENETTES EHPAD,17050,,Celine LUCION,EHPAD,Grand Nord-Est,03 27 20 09 40,5 RUE LOUIS LEMOINE,59125,TRITH ST LEGER,-,3.483519,50.321693,0.8030139112050739,,Rue Louis Lemoine 59125 Trith-Saint-Léger,street,59603_0432,,Rue Louis Lemoine,Rue Louis Lemoine,59125,Trith-Saint-Léger,"59, Nord, Hauts-de-France",59603,,,,ok
LES GRANDS PRES EHPAD,17876,,Niels COLLEU,EHPAD,Normandie,02 37 37 20 92,40 RESIDENCE LES GRANDS PRES,61110,BRETONCELLES,-,0.889052,48.438767,0.9154270986460349,0.6251592207792208,40 Résidence les Grands Prés 61110 Bretoncelles,housenumber,61061_a002_00040,40,40 Résidence les Grands Prés,Résidence les Grands Prés,61110,Bretoncelles,"61, Orne, Normandie",61061,,,,ok
LES GRILLONS EHPAD,2879,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 46 71 72,,86340,ASLONNES,-,0.337424,46.44514,0.9360636363636363,0.6005578354978355,Aslonnes,municipality,86010,,Aslonnes,,86340,Aslonnes,"86, Vienne, Nouvelle-Aquitaine",86010,,,,ok
LES HIBISCUS EHPAD,4536,IGH,Celine LUCION,EHPAD,Grand Nord-Est,03 82 25 85 67,rue Sauci Fosse,54135,MEXY,-,5.790213,49.50065,0.7875474608150469,,Rue de Sauci Fosse 54135 Mexy,street,54367_xhuz4l,,Rue de Sauci Fosse,Rue de Sauci Fosse,54135,Mexy,"54, Meurthe-et-Moselle, Grand Est",54367,,,,ok
LES HORTENSIAS EHPAD,6797,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 56 97 97,189 chemin Saint-Paul,64240,URT,-,-1.294717,43.489526,0.8156674331550802,0.45142311004784685,189 Chemin de Saint-Paul 64240 Urt,housenumber,64546_7168_00189,189,189 Chemin de Saint-Paul,Chemin de Saint-Paul,64240,Urt,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64546,,,,ok
LES JARDINS DE CYBELLE EHPAD,5215,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 91 83 26 00,RUE PEUGNIEZ,62970,COURCELLES LES LENS,-,3.018024,50.413538,0.9021049282296649,0.7747990909090908,Rue Peugniez 62970 Courcelles-lès-Lens,street,62249_0322,,Rue Peugniez,Rue Peugniez,62970,Courcelles-lès-Lens,"62, Pas-de-Calais, Hauts-de-France",62249,,,,ok
LES JARDINS DE JEANNE EHPAD COLISEE,4317,COLISEE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 55 68 90,139 avenue Portes,33450,IZON,-,-0.377399,44.923303,0.7905399999999999,0.4618695041322314,139 Avenue des Portes 33450 Izon,housenumber,33207_5050_00139,139,139 Avenue des Portes,Avenue des Portes,33450,Izon,"33, Gironde, Nouvelle-Aquitaine",33207,,,,ok
LES JARDINS DE MONTMARTRE EHPAD,2794,UNIVI,IDF,EHPAD,Ile de France,01 42 57 84 84,"18, rue Pierre Picard",75018,PARIS 18,-,2.345408,48.884824,0.893081550802139,,18 Rue Pierre Picard 75018 Paris,housenumber,75118_7469_00018,18,18 Rue Pierre Picard,Rue Pierre Picard,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
LES JARDINS DE RAMBAM EHPAD,5673,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 39 27 09,2 Rue du Tucard,31650,ST ORENS DE GAMEVILLE,-,1.539816,43.548291,0.8247725725338491,,2 Rue du Tucard 31650 Saint-Orens-de-Gameville,housenumber,31506_1270_00002,2,2 Rue du Tucard,Rue du Tucard,31650,Saint-Orens-de-Gameville,"31, Haute-Garonne, Occitanie",31506,,,,ok
LES JARDINS DE ST HILAIRE EHPAD,9129,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 60 68 60,131 CHEMIN DE CAMP ARDON,30560,ST HILAIRE DE BRETHMAS,-,4.121178,44.077579,0.8421299840510366,,131 Chemin de Camp Ardon 30560 Saint-Hilaire-de-Brethmas,housenumber,30259_0420_00131,131,131 Chemin de Camp Ardon,Chemin de Camp Ardon,30560,Saint-Hilaire-de-Brethmas,"30, Gard, Occitanie",30259,,,,ok
LES JARDINS DE THENON EHPAD++,9199,DOMIDEP,Laurent DURIEUX,EHPAD,Val de Loire,05 53 06 64 30,1 rue Pierre Loti,24210,THENON,-,1.073374,45.138289,0.8832921212121212,,1 Rue Pierre Loti 24210 Thenon,housenumber,24550_0068_00001,1,1 Rue Pierre Loti,Rue Pierre Loti,24210,Thenon,"24, Dordogne, Nouvelle-Aquitaine",24550,,,,ok
LES JARDINS DES HAUTS DE SAINTE ALVERE EHPAD,10367,DOMIDEP,Laurent DURIEUX,EHPAD,Val de Loire,05 53 22 70 41,7 rue de lostanges,24510,STE ALVERE,-,0.810925,44.94705,0.600011871657754,,Rue de Lostanges 24510 Val de Louyre et Caudeau,street,24362_0087,,Rue de Lostanges,Rue de Lostanges,24510,Val de Louyre et Caudeau,"24, Dordogne, Nouvelle-Aquitaine",24362,24362,Sainte-Alvère,,ok
LES JARDINS DES SOURCES,9389,,Herve QUELO,EHPAD,Centre Auvergne,04 70 64 40 08,"5, allée Danièle Mitterand",03630,DESERTINES,-,2.619947,46.352304,0.8658099173553718,,5 Allée Danielle Mitterrand 03630 Désertines,housenumber,03098_0350_00005,5,5 Allée Danielle Mitterrand,Allée Danielle Mitterrand,03630,Désertines,"03, Allier, Auvergne-Rhône-Alpes",03098,,,,ok
LES JARDINS DU GO EHPAD,9310,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,05 46 28 99 10,2 rue de L'Aubrecay,17137,NIEUL SUR MER,-,-1.157395,46.210034,0.9102563170163169,,2 Rue de l'Aubreçay 17137 Nieul-sur-Mer,housenumber,17264_0429_00002,2,2 Rue de l'Aubreçay,Rue de l'Aubreçay,17137,Nieul-sur-Mer,"17, Charente-Maritime, Nouvelle-Aquitaine",17264,,,,ok
LES JARDINS DU VERT PRAUD EHPAD,8429,,Aurore Auffret,EHPAD,Bretagne,02 28 27 29 00,100 rue du vert praud,44400,REZE,-,-1.550056,47.161715,0.9031272727272727,,100 Rue du Vert Praud 44400 Rezé,housenumber,44143_3670_00100,100,100 Rue du Vert Praud,Rue du Vert Praud,44400,Rezé,"44, Loire-Atlantique, Pays de la Loire",44143,,,,ok
LES JARDINS MEDICIS,5183,DOMUSVI,Celine LUCION,EHPAD,Grand Nord-Est,03 44 12 40 20,12 RUE DE L'ARGILIERE,60110,ESCHES,-,2.170536,49.217089,0.895974973262032,,12 Rue de l'Argilière 60110 Esches,housenumber,60218_0003_00012,12,12 Rue de l'Argilière,Rue de l'Argilière,60110,Esches,"60, Oise, Hauts-de-France",60218,,,,ok
LES JARDINS SAINT JACQUES EHPAD,4014,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 35 80 80,"28 bis, rue Denis Diderot",66000,PERPIGNAN,-,2.90782,42.702045,0.8621834368070953,,28bis Rue Denis Diderot 66000 Perpignan,housenumber,66136_1345_00028_bis,28bis,28bis Rue Denis Diderot,Rue Denis Diderot,66000,Perpignan,"66, Pyrénées-Orientales, Occitanie",66136,,,,ok
LES LANDIERS EHPAD,9324,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 78 78 32 32,A/A DE L'INFIRMERIE,69500,BRON,-,4.913546,45.745754,0.48189860139860136,0.4603240591966173,Rue de la Batterie 69500 Bron,street,69029_0150,,Rue de la Batterie,Rue de la Batterie,69500,Bron,"69, Rhône, Auvergne-Rhône-Alpes",69029,,,,ok
LES LATANIERS EHPAD,15386,Fondation Père Favron,Export,EHPAD,Dom-Tom,+262 262 22 23 23,102 Rue Raymond Mondon,97419,LA POSSESSION,-,55.344724,-20.923282,0.9259472294372293,,102 Rue Raymond Mondon 97419 La Possession,housenumber,97408_0328_00102,102,102 Rue Raymond Mondon,Rue Raymond Mondon,97419,La Possession,"974, La Réunion",97408,,,,ok
LES LAURENTIDES EHPAD,4397,,Niels COLLEU,EHPAD,Normandie,02 33 25 91 82,Le Portail,61190,TOUROUVRE,-,0.653559,48.587597,0.5818345454545454,,Rue du Portail 61190 Tourouvre au Perche,street,61491_0410,,Rue du Portail,Rue du Portail,61190,Tourouvre au Perche,"61, Orne, Normandie",61491,61491,Tourouvre,,ok
LES LIERRES EHPAD RESIDENCE,1836,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 32 16 96,3 rue Bernard de Clairvaux,64000,PAU,-,-0.361908,43.322849,0.9192758585858585,,3 rue Bernard de Clairvaux 64000 Pau,housenumber,64445_0533_00003,3,3 rue Bernard de Clairvaux,rue Bernard de Clairvaux,64000,Pau,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64445,,,,ok
LES LOGIS D'AURE EHPAD,8082,Fondation Partage et Vie (ex Caisse d'Epargne),Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 39 91 78,5 chemin de la Magnette,65240,GUCHEN,-,0.338104,42.866544,0.8892067676767677,,5 Chemin de la Magnette 65240 Guchen,housenumber,65212_0120_00005,5,5 Chemin de la Magnette,Chemin de la Magnette,65240,Guchen,"65, Hautes-Pyrénées, Occitanie",65212,,,,ok
LES LOGIS DU PARC MOUSSIER EHPAD,3306,ITINOVA,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 48 16 95,"3, rue du Centre",21130,ATHEE,-,5.371385,47.230893,0.8867499326599325,0.7352016083916084,3 Rue du Centre 21130 Athée,housenumber,21028_0023_00003,3,3 Rue du Centre,Rue du Centre,21130,Athée,"21, Côte-d'Or, Bourgogne-Franche-Comté",21028,,,,ok
LES LUCIOLES EHPAD,2550,,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 37 75 00,"3, avenue des Baumettes",06000,NICE,-,7.251184,43.694468,0.9253717630853994,0.588381685144124,3 Avenue des Baumettes 06000 Nice,housenumber,06088_0660_00003,3,3 Avenue des Baumettes,Avenue des Baumettes,06000,Nice,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06088,,,,ok
LES MAGNOLIAS EHPAD,6212,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 27 04 06,"1, rue Clémenceau",68920,WINTZENHEIM,-,7.295272,48.071376,0.9147086096256682,,1 Rue Clemenceau 68920 Wintzenheim,housenumber,68374_0190_00001,1,1 Rue Clemenceau,Rue Clemenceau,68920,Wintzenheim,"68, Haut-Rhin, Grand Est",68374,,,,ok
LES MAGNOLIAS EHPAD,9672,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 47 64 64,30 Impasse Bellevue,40150,SOORTS HOSSEGOR,-,-1.392707,43.6632,0.9083577383592016,,30 Impasse Bellevue 40150 Soorts-Hossegor,housenumber,40304_0037_00030,30,30 Impasse Bellevue,Impasse Bellevue,40150,Soorts-Hossegor,"40, Landes, Nouvelle-Aquitaine",40304,,,,ok
LES MELEZES COLISEE,13173,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 29 45 50 60,,55000,BAR LE DUC,-,5.165032,48.773944,0.9476881818181817,0.665608347107438,Bar-le-Duc,municipality,55029,,Bar-le-Duc,,55000,Bar-le-Duc,"55, Meuse, Grand Est",55029,,,,ok
LES MOULINS EHPAD,6272,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 75 00 01,3 Avenue de Saint Paul,81700,PUYLAURENS,-,2.009251,43.57374,0.9030290442890442,0.607346694214876,3 Avenue de Saint Paul 81700 Puylaurens,housenumber,81219_0082_00003,3,3 Avenue de Saint Paul,Avenue de Saint Paul,81700,Puylaurens,"81, Tarn, Occitanie",81219,,,,ok
LES OCRIERES EHPAD,2386,,Herve QUELO,EHPAD,Centre Auvergne,03 86 39 75 13,12 rue du Faubourg Neuf,58310,ST AMAND EN PUISAYE,-,3.077036,47.529634,0.8316150257289879,0.6479329845626071,12 Rue du Faubourg Neuf 58310 Saint-Amand-en-Puisaye,housenumber,58227_0040_00012,12,12 Rue du Faubourg Neuf,Rue du Faubourg Neuf,58310,Saint-Amand-en-Puisaye,"58, Nièvre, Bourgogne-Franche-Comté",58227,,,,ok
LES PATIOS DE ST JEAN EHPAD,13134,,Dorian SANCHEZ,EHPAD,Sud-Est,04 86 91 72 10,596 CHEMIN DE ST JEAN,13530,TRETS,-,5.687096,43.439145,0.7935589189189189,0.6559081818181818,596 Chemin de Saint-jean 13530 Trets,housenumber,13110_6760_00596,596,596 Chemin de Saint-jean,Chemin de Saint-jean,13530,Trets,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13110,,,,ok
LES PERCE NEIGE EHPAD,16719,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 33 41 44,1 RUE DE LAUTERECKEN,21540,SOMBERNON,-,4.707733,47.310648,0.8931031313131312,,1 Rue de Lauterecken 21540 Sombernon,housenumber,21611_0105_00001,1,1 Rue de Lauterecken,Rue de Lauterecken,21540,Sombernon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21611,,,,ok
LES PINS EHPAD,6879,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 44 73 00,Place du Fronton,64990,ST PIERRE D'IRUBE,-,-1.46055,43.478057,0.6649955125725338,0.5743746280991735,Place du Basté 64990 Saint-Pierre-d'Irube,street,64496_0585,,Place du Basté,Place du Basté,64990,Saint-Pierre-d'Irube,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64496,,,,ok
LES PLEIADES EHPAD LNA,0281,Le Noble Âge,Dorian SANCHEZ,EHPAD,Sud-Est,04 98 00 59 10,"192, rue de la Reine Jeanne",83200,TOULON,-,5.926741,43.132577,0.7076773392461196,0.49504341372912797,192 Rue Reine Jeanne 83000 Toulon,housenumber,83137_6160_00192,192,192 Rue Reine Jeanne,Rue Reine Jeanne,83000,Toulon,"83, Var, Provence-Alpes-Côte d'Azur",83137,,,,ok
LES POMMIERS RESIDENCE,14834,,Niels COLLEU,EHPAD,Normandie,02 33 56 08 50,3 Rue des sabotiers,50750,DANGY,-,-1.224148,49.043298,0.8862717008797653,0.8194770381231671,3 Rue des Sabotiers 50750 Dangy,housenumber,50159_0060_00003,3,3 Rue des Sabotiers,Rue des Sabotiers,50750,Dangy,"50, Manche, Normandie",50159,,,,ok
LES PYRENEES EHPAD,0647,ASSOCIATION CHEMINS D'ESPERANCE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 27 33 80,"24, Rue Montpensier",64000,PAU,-,-0.373127,43.301212,0.8120414285714285,,rue Montpensier 64000 Pau,street,64445_3070,,rue Montpensier,rue Montpensier,64000,Pau,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64445,,,,ok
LES QUIETUDES EHPAD,1641,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 82 14 00,Rue de la Rode,81440,LAUTREC,-,2.139028,43.705051,0.8852631168831169,,Rue de la Rode 81440 Lautrec,street,81139_0026,,Rue de la Rode,Rue de la Rode,81440,Lautrec,"81, Tarn, Occitanie",81139,,,,ok
LES RESIDENCES DU THOUET EHPAD,4565,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 64 70 68,8Bis rue Pierre LAILLE,79600,AIRVAULT,-,-0.135549,46.823606,0.8105175119617224,0.44236587737843547,8b Rue Pierre Laillé 79600 Airvault,housenumber,79005_0865_00008_b,8b,8b Rue Pierre Laillé,Rue Pierre Laillé,79600,Airvault,"79, Deux-Sèvres, Nouvelle-Aquitaine",79005,79005,Airvault,,ok
LES RIVES DE L'AUXENCE EHPAD,16182,,Aurore Auffret,EHPAD,Bretagne,02 40 09 16 16,181 RUE CAPITAINE ETIENNE,44370,BELLIGNE,-,-1.025653,47.468289,0.7042979220779221,,181 Rue du Capitaine Étienne 44370 Loireauxence,housenumber,44213_0311_00181,181,181 Rue du Capitaine Étienne,Rue du Capitaine Étienne,44370,Loireauxence,"44, Loire-Atlantique, Pays de la Loire",44213,44011,Belligné,,ok
LES ROMARINS EHPAD,9275,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 11 10 30,8 AVENUE RAYMOND COURRIERE B,11610,PENNAUTIER,-,2.323523,43.243795,0.8737455555555554,,8 Avenue Raymond Courriére 11610 Pennautier,housenumber,11279_0091_00008,8,8 Avenue Raymond Courriére,Avenue Raymond Courriére,11610,Pennautier,"11, Aude, Occitanie",11279,,,,ok
LES ROUSSELIERES EHPAD TITAN,6585,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 86 51 99,27 Avenue des Acacias,86450,PLEUMARTIN,-,0.762121,46.738409,0.9058222009569377,,27 Avenue des Acacias 86450 Pleumartin,housenumber,86193_wdo936_00027,27,27 Avenue des Acacias,Avenue des Acacias,86450,Pleumartin,"86, Vienne, Nouvelle-Aquitaine",86193,,,,ok
LES SERPOLETS EHPAD,5739,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 22 83 24,462 route de Saint-Sauveur,31620,CEPET,-,1.426703,43.750222,0.9062994736842104,,462 Route de Saint Sauveur 31620 Cépet,housenumber,31136_0010_00462,462,462 Route de Saint Sauveur,Route de Saint Sauveur,31620,Cépet,"31, Haute-Garonne, Occitanie",31136,,,,ok
LES TAMARIS EHPAD EMEIS,17849,EMEIS (ANCIEN ORPEA),Dorian SANCHEZ,EHPAD,Sud-Est,04 75 41 03 11,136 PONT FREDERIC MISTRAL,07500,GUILHERAND,-,4.879791,44.935444,0.6675175300171525,0.581977922077922,136 Rue Frédéric Mistral 07500 Guilherand-Granges,housenumber,07102_0187_00136,136,136 Rue Frédéric Mistral,Rue Frédéric Mistral,07500,Guilherand-Granges,"07, Ardèche, Auvergne-Rhône-Alpes",07102,,,,ok
LES TAMARIS EHPAD KORIAN,5274,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 99 41 35 00,32 BD DU GENERAL DE GAULLE,34410,SERIGNAN,-,3.270846,43.271459,0.7570029128014842,,32 Boulevard du Général de Gaulle 34410 Sérignan,housenumber,34299_0128_00032,32,32 Boulevard du Général de Gaulle,Boulevard du Général de Gaulle,34410,Sérignan,"34, Hérault, Occitanie",34299,,,,ok
